Record Number,Type,Address,Date Opened,Status
25TMP-007065,Planning Pre-Application,,8/11/2025,
PPA25-0261,Planning Pre-Application,"4580 E ONTARIO MILLS PW, ONTARIO CA 91764",8/10/2025,App Submitted
PPA25-0260,Planning Pre-Application,"422 N MONTEREY AV, ONTARIO CA 91764",8/9/2025,App Submitted
25TMP-006239,Short Term Rental License,"576 E TAM O'SHANTER ST, ONTARIO CA 91761",8/8/2025,
25TMP-007032,Planning Pre-Application,,8/8/2025,
25TMP-007031,Planning Pre-Application,"1021 E YALE ST, ONTARIO CA 91764",8/8/2025,
PTUP25-045,Temporary Use Permit,2180 E AVION ST,8/8/2025,Under Review
PPRE25-003,Preliminary Review,1522 W MISSION BL,8/8/2025,Under Review
PPA25-0259,Planning Pre-Application,"2440 S VINEYARD AV, BLDG, ONTARIO CA 91761",8/8/2025,App Submitted
25TMP-006994,Planning Pre-Application,,8/7/2025,
PSGP25-009,Sign Program,"430 N VINEYARD AV, SUITE 1-100, ONTARIO CA 91764",8/7/2025,Active
PSGN25-094,Sign Permit,"940 S ROCHESTER AV, SUITE B, ONTARIO CA 91761",8/7/2025,Approved Final
PPA25-0258,Planning Pre-Application,"430 N VINEYARD AV, SUITE 1-100, ONTARIO CA 91764",8/7/2025,Complete
PTUP25-044,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",8/6/2025,Under Review
PSGN25-093,Sign Permit,"2202 S EUCLID AV, ONTARIO CA 91762",8/5/2025,Active
PPA25-0257,Planning Pre-Application,"216 N EUCLID AV, ONTARIO CA 91761",8/5/2025,Complete
PTUP25-043,Temporary Use Permit,"13608 S GROVE AV, ONTARIO CA 91761",8/4/2025,Active
PPA25-0256,Planning Pre-Application,"2202 S EUCLID AV, ONTARIO CA 91762",8/4/2025,Complete
25TMP-006773,Planning Pre-Application,,8/1/2025,
PTUP25-042,Temporary Use Permit,"2500 S ARCHIBALD AV, ONTARIO CA 91761",8/1/2025,Active
PTUP25-041,Temporary Use Permit,"2661 E GRAND PARK ST, ONTARIO CA 91762",8/1/2025,Active
PSGN25-092,Sign Permit,"1100 S WANAMAKER AV, Ontario CA 91761",8/1/2025,Active
PPA25-0255,Planning Pre-Application,"1100 S WANAMAKER AV, Ontario CA 91761",8/1/2025,Complete
PVER25-031,Zoning Verification Letter,"1155 S MILLIKEN AV, SUITE 12-A, ONTARIO CA 91761",7/31/2025,Active
PMTT25-008,Parcel Tract Map,"10869 E EUCALYPTUS AV, ONTARIO CA 91762",7/31/2025,Under Review
PSGN25-091,Sign Permit,"3130 E INLAND EMPIRE BL, BLDG A, ONTARIO CA 91764",7/31/2025,Approved Final
PPA25-0254,Planning Pre-Application,"1155 S MILLIKEN AV, SUITE 12-A, ONTARIO CA 91761",7/31/2025,Complete
25TMP-006716,Planning Pre-Application,,7/30/2025,
25TMP-006717,Planning Pre-Application,"950 N HAVEN AV, ONTARIO CA 91764",7/30/2025,
PVER25-030,Zoning Verification Letter,"2025 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",7/30/2025,Approved
PTUP25-040,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, Ontario CA 91761",7/30/2025,Active
PMISC-00010,Planning Miscellaneous,"950 E STATE ST, ONTARIO CA 91761",7/30/2025,Withdrawn
PSGN25-090,Sign Permit,"1200 S ETIWANDA AV, ONTARIO CA 91761",7/30/2025,Active
PPA25-0253,Planning Pre-Application,"940 N HAVEN AV, SUITE 100, ONTARIO CA 91764",7/30/2025,Resubmittal Required
PPA25-0252,Planning Pre-Application,"2025 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",7/30/2025,Complete
PPA25-0251,Planning Pre-Application,"10869 E EUCALYPTUS AV, ONTARIO CA 91762",7/30/2025,Complete
25TMP-006609,Planning Pre-Application,"0 S WALKER AV, ONTARIO CA 91710",7/29/2025,
PPA25-0250,Planning Pre-Application,"950 E STATE ST, ONTARIO CA 91761",7/29/2025,Complete
PPA25-0249,Planning Pre-Application,"0 E MERRILL AV, ONTARIO CA 91762",7/29/2025,Resubmittal Required
PPA25-0248,Planning Pre-Application,"715 W CEDAR ST, ONTARIO CA 91762",7/28/2025,Withdrawn
PVER25-029,Zoning Verification Letter,"1455 E FRANCIS ST, ONTARIO CA 91761",7/25/2025,Approved
PPA25-0247,Planning Pre-Application,"1455 E FRANCIS ST, ONTARIO CA 91761",7/25/2025,Complete
25TMP-006501,Short Term Rental License,"1153 W WHITTLERS LN, ONTARIO CA 91762",7/24/2025,
PHP-25-017,Historical Preservation,"204 E F ST, ONTARIO CA 91764",7/24/2025,Approved Final
PSGN25-089,Sign Permit,"2800 E INLAND EMPIRE BL, ONTARIO CA 91764",7/24/2025,Under Review
PPA25-0246,Planning Pre-Application,"2800 E INLAND EMPIRE BL, ONTARIO CA 91764",7/24/2025,Complete
PHP-25-016,Historical Preservation,"2160 S EUCLID AV, ONTARIO CA 91762",7/23/2025,Under Review
PDEV25-012,Development Plan,"2160 S EUCLID AV, ONTARIO CA 91762",7/23/2025,Under Review
PPA25-0245,Planning Pre-Application,"215 E EL MORADO CT, ONTARIO CA 91764",7/23/2025,Withdrawn
PVER25-028,Zoning Verification Letter,"1719 E FOURTH ST, ONTARIO CA 91764",7/22/2025,Approved
PVAR25-002,Variance,"2314 S MOUNTAIN AV, ONTARIO CA 91762",7/22/2025,Active
PDEV25-011,Development Plan,"2314 S MOUNTAIN AV, ONTARIO CA 91762",7/22/2025,Active
PCUP25-016,Conditional Use Permit,"2314 S MOUNTAIN AV, ONTARIO CA 91762",7/22/2025,Active
PPA25-0244,Planning Pre-Application,"2000 E CONVENTION CENTER WY, Ontario CA 91761",7/22/2025,Withdrawn
PPA25-0243,Planning Pre-Application,"215 W G ST, ONTARIO CA 91762",7/22/2025,Withdrawn
PSGN25-088,Sign Permit,"4649 E MILLS CI N, ONTARIO CA 91764",7/21/2025,Approved Final
PPA25-0242,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, Ontario CA 91761",7/21/2025,Complete
PPA25-0241,Planning Pre-Application,"1719 E FOURTH ST, ONTARIO CA 91764",7/21/2025,Complete
PSGN25-087,Sign Permit,"2700 E AIRPORT--OIA, Ontario CA 91761",7/18/2025,Approved Final
PCUP25-015,Conditional Use Permit,"3237 E GUASTI RD, SUITE 1-300, ONTARIO CA 91761",7/18/2025,Under Review
PPA25-0240,Planning Pre-Application,"4649 E MILLS CI N, ONTARIO CA 91764",7/18/2025,Complete
PPA25-0239,Planning Pre-Application,"2700 E AIRPORT--OIA, Ontario CA 91761",7/18/2025,Complete
PPA25-0238,Planning Pre-Application,"2314 S MOUNTAIN AV, ONTARIO CA 91762",7/17/2025,Complete
PTUP25-039,Temporary Use Permit,"224 W CALIFORNIA ST, ONTARIO CA 91762",7/16/2025,Under Review
PSGN25-086,Sign Permit,"1927 E FRANCIS ST, ONTARIO CA 91761",7/16/2025,Approved Final
PPA25-0237,Planning Pre-Application,"757 E E ST, ONTARIO CA 91764",7/16/2025,Withdrawn
PPA25-0236,Planning Pre-Application,"2685 E RIVERSIDE DR, ONTARIO CA 91761",7/16/2025,Withdrawn
25TMP-006159,Planning Pre-Application,,7/15/2025,
PSGN25-085,Sign Permit,"3130 E SEDONA CT, ONTARIO CA 91764",7/15/2025,Under Review
PSGN25-084,Sign Permit,"333 N EUCLID AV, BLDG 1, ONTARIO CA 91762",7/15/2025,Active
