site_number,status,address,opened_date,project_name,trucking_price_per_load,total_price_per_load,geocoded,distance_miles,roundtrip_minutes
,,nan,,,,,False,,
,,"4580 E ONTARIO MILLS PW, ONTARIO CA 91764",,,,,False,,
,,"422 N MONTEREY AV, ONTARIO CA 91764",,,,,False,,
,,"576 E TAM O'SHANTER ST, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"1021 E YALE ST, ONTARIO CA 91764",,,,,False,,
,,2180 E AVION ST,,,,,False,,
,,1522 W MISSION BL,,,,,False,,
,,"2440 S VINEYARD AV, BLDG, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"430 N VINEYARD AV, SUITE 1-100, ONTARIO CA 91764",,,,,False,,
,,"940 S ROCHESTER AV, SUITE B, ONTARIO CA 91761",,,,,False,,
,,"430 N VINEYARD AV, SUITE 1-100, ONTARIO CA 91764",,,,,False,,
,,"216 N EUCLID AV, ONTARIO CA 91761",,,,,False,,
,,"2202 S EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"216 N EUCLID AV, ONTARIO CA 91761",,,,,False,,
,,"13608 S GROVE AV, ONTARIO CA 91761",,,,,False,,
,,"2202 S EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,nan,,,,,False,,
,,"2500 S ARCHIBALD AV, ONTARIO CA 91761",,,,,False,,
,,"2661 E GRAND PARK ST, ONTARIO CA 91762",,,,,False,,
,,"1100 S WANAMAKER AV, Ontario CA 91761",,,,,False,,
,,"1100 S WANAMAKER AV, Ontario CA 91761",,,,,False,,
,,"1155 S MILLIKEN AV, SUITE 12-A, ONTARIO CA 91761",,,,,False,,
,,"10869 E EUCALYPTUS AV, ONTARIO CA 91762",,,,,False,,
,,"3130 E INLAND EMPIRE BL, BLDG A, ONTARIO CA 91764",,,,,False,,
,,"1155 S MILLIKEN AV, SUITE 12-A, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"950 N HAVEN AV, ONTARIO CA 91764",,,,,False,,
,,"2025 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, Ontario CA 91761",,,,,False,,
,,"950 E STATE ST, ONTARIO CA 91761",,,,,False,,
,,"1200 S ETIWANDA AV, ONTARIO CA 91761",,,,,False,,
,,"940 N HAVEN AV, SUITE 100, ONTARIO CA 91764",,,,,False,,
,,"2025 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"10869 E EUCALYPTUS AV, ONTARIO CA 91762",,,,,False,,
,,"0 S WALKER AV, ONTARIO CA 91710",,,,,False,,
,,"950 E STATE ST, ONTARIO CA 91761",,,,,False,,
,,"0 E MERRILL AV, ONTARIO CA 91762",,,,,False,,
